a a l e n d	VERB type=participle tense=present
v e r t r a u t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r t r a u t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r t r a u t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r t r a u t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r t r u g e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative
v e r t r u e g e n	VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r t r u e g e s t	VERB person=2nd number=singular tense=past mood=subjunctive
v e r t r u e g e t	VERB person=2nd number=plural tense=past mood=subjunctive
v e r t r u e g e	VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r t r u g s t	VERB person=2nd number=singular tense=past mood=indicative
v e r t r u g t	VERB person=2nd number=plural tense=past mood=indicative
v e r t r u g	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative
v e r u e b e n d	VERB type=participle tense=present
v e r u e b e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r u e b e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r u e b e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r u e b e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r u e b s t	VERB person=2nd number=singular tense=present mood=indicative
v e r u e b t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r u e b t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r u e b t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r u e b t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r u e b t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r u n s i c h e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r u n s i c h e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r u n s i c h e r e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r u n s i c h e r n d	VERB type=participle tense=present
v e r u n s i c h e r n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r u n s i c h e r s t	VERB person=2nd number=singular tense=present mood=indicative
v e r u n s i c h e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r u n s i c h e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r u n s i c h e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r u n s i c h e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r u n s i c h e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r u n s i c h r e	VERB person=1st number=singular tense=present mood=indicative
v e r u n z i e r e n d	VERB type=participle tense=present
v e r u n z i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r u n z i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r u n z i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r u n z i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r u n z i e r s t	VERB person=2nd number=singular tense=present mood=indicative
v e r u n z i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r u n z i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r u n z i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r u n z i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r u n z i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r u r s a c h e n d	VERB type=participle tense=present
v e r u r s a c h e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r u r s a c h e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r u r s a c h e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r u r s a c h e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r u r s a c h s t	VERB person=2nd number=singular tense=present mood=indicative
v e r u r s a c h t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r u r s a c h t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r u r s a c h t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r u r s a c h t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r u r s a c h t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r u r t e i l e n d	VERB type=participle tense=present
v e r u r t e i l e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r u r t e i l e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r u r t e i l e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r u r t e i l e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r u r t e i l s t	VERB person=2nd number=singular tense=present mood=indicative
v e r u r t e i l t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r u r t e i l t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r u r t e i l t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r u r t e i l t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r u r t e i l t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w a l t e n d	VERB type=participle tense=present
v e r w a l t e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w a l t e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
v e r w a l t e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w a l t e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w a l t e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w a l t e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w a l t e t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
v e r w a l t e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w a n d e l e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r w a n d e l e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r w a n d e l e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w a n d e l n d	VERB type=participle tense=present
v e r w a n d e l n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w a n d e l s t	VERB person=2nd number=singular tense=present mood=indicative
v e r w a n d e l t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w a n d e l t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w a n d e l t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w a n d e l t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w a n d e l t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w a n d l e	VERB person=1st number=singular tense=present mood=indicative
v e r w a n z e n d	VERB type=participle tense=present
v e r w a n z e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w a n z e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r w a n z e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r w a n z e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w a n z t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w a n z t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w a n z t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w a n z t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w a n z t	VERB type=participle tense=past ; VERB person=2nd number=singular tense=present mood=indicative ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w a e s s e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r w a e s s e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r w a e s s e r e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w a e s s e r n d	VERB type=participle tense=present
v e r w a e s s e r n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w a e s s e r s t	VERB person=2nd number=singular tense=present mood=indicative
v e r w a e s s e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w a e s s e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w a e s s e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w a e s s e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w a e s s e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w a e s s r e	VERB person=1st number=singular tense=present mood=indicative
v e r w e c h s e l e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r w e c h s e l e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r w e c h s e l e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w e c h s e l n d	VERB type=participle tense=present
v e r w e c h s e l n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w e c h s e l s t	VERB person=2nd number=singular tense=present mood=indicative
v e r w e c h s e l t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w e c h s e l t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w e c h s e l t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w e c h s e l t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w e c h s e l t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w e c h s e l u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
v e r w e c h s e l u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
v e r w e c h s l e	VERB person=1st number=singular tense=present mood=indicative
v e r w e i g e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r w e i g e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r w e i g e r e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w e i g e r n d	VERB type=participle tense=present
v e r w e i g e r n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w e i g e r s t	VERB person=2nd number=singular tense=present mood=indicative
v e r w e i g e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w e i g e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w e i g e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w e i g e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w e i g e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w e i g r e	VERB person=1st number=singular tense=present mood=indicative
v e r w e i s e n d	VERB type=participle tense=present
v e r w e i s e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w e i s e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r w e i s e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r w e i s e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w e i s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w e l k e n d	VERB type=participle tense=present
v e r w e l k e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w e l k e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r w e l k e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r w e l k e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w e l k s t	VERB person=2nd number=singular tense=present mood=indicative
v e r w e l k t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w e l k t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w e l k t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w e l k t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w e l k t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w e n d e n d	VERB type=participle tense=present
v e r w e n d e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w e n d e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
v e r w e n d e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w e n d e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w e n d e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w e n d e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w e n d e t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
v e r w e n d e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w i e s e n	VERB type=participle tense=past ; VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w i e s e s t	VERB person=2nd number=singular tense=past mood=subjunctive
v e r w i e s e t	VERB person=2nd number=plural tense=past mood=subjunctive
v e r w i e s e	VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w i e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=indicative
v e r w i e s	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative
v e r w i r r e n d	VERB type=participle tense=present
v e r w i r r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w i r r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r w i r r e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r w i r r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w i r r s t	VERB person=2nd number=singular tense=present mood=indicative
v e r w i r r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w i r r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w i r r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w i r r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w i r r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w i t t e r e n d	VERB type=participle tense=present
v e r w i t t e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w i t t e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r w i t t e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r w i t t e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r w i t t e r s t	VERB person=2nd number=singular tense=present mood=indicative
v e r w i t t e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w i t t e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w i t t e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w i t t e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w i t t e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r w u n d b a r k e i t e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
v e r w u n d b a r k e i t	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
v e r w u e s t e n d	VERB type=participle tense=present
v e r w u e s t e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r w u e s t e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
v e r w u e s t e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r w u e s t e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r w u e s t e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r w u e s t e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r w u e s t e t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
v e r w u e s t e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r z a u b e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r z a u b e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r z a u b e r e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r z a u b e r n d	VERB type=participle tense=present
v e r z a u b e r n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r z a u b e r s t	VERB person=2nd number=singular tense=present mood=indicative
